sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,brand,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,fabric_care,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,primary_colour,required_options,short_description,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
10003-pureblack-xs,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:25",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,black,0,"Full description for ""Barcelona Men's Casual"" coming soon...",XS,,,,,,1,4,,,"2015-11-11 21:48:25",barcelona-men-s-casual,barcelona-men-s-casual.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-pureblack-s,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:25",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,black,0,"Full description for ""Barcelona Men's Casual"" coming soon...",S,,,,,,1,4,,,"2015-11-11 21:48:25",barcelona-men-s-casual,barcelona-men-s-casual-9.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-pureblack-m,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:25",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,black,0,"Full description for ""Barcelona Men's Casual"" coming soon...",M,,,,,,1,4,,,"2015-11-11 21:48:25",barcelona-men-s-casual,barcelona-men-s-casual-10.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-pureblack-l,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:25",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,black,0,"Full description for ""Barcelona Men's Casual"" coming soon...",L,,,,,,1,4,,,"2015-11-11 21:48:25",barcelona-men-s-casual,barcelona-men-s-casual-11.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-pureblack-xl,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:25",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,black,0,"Full description for ""Barcelona Men's Casual"" coming soon...",XL,,,,,,1,4,,,"2015-11-11 21:48:25",barcelona-men-s-casual,barcelona-men-s-casual-12.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-lightgrey-xs,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:25",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,grey,0,"Full description for ""Barcelona Men's Casual"" coming soon...",XS,,,,,,1,4,,,"2015-11-11 21:48:25",barcelona-men-s-casual,barcelona-men-s-casual-13.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-lightgrey-s,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:25",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,grey,0,"Full description for ""Barcelona Men's Casual"" coming soon...",S,,,,,,1,4,,,"2015-11-11 21:48:25",barcelona-men-s-casual,barcelona-men-s-casual-14.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-lightgrey-m,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:26",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,grey,0,"Full description for ""Barcelona Men's Casual"" coming soon...",M,,,,,,1,4,,,"2015-11-11 21:48:26",barcelona-men-s-casual,barcelona-men-s-casual-15.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-lightgrey-l,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:26",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,grey,0,"Full description for ""Barcelona Men's Casual"" coming soon...",L,,,,,,1,4,,,"2015-11-11 21:48:26",barcelona-men-s-casual,barcelona-men-s-casual-16.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-lightgrey-xl,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:26",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,grey,0,"Full description for ""Barcelona Men's Casual"" coming soon...",XL,,,,,,1,4,,,"2015-11-11 21:48:26",barcelona-men-s-casual,barcelona-men-s-casual-17.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-brightred-xs,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:26",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,red,0,"Full description for ""Barcelona Men's Casual"" coming soon...",XS,,,,,,1,4,,,"2015-11-11 21:48:26",barcelona-men-s-casual,barcelona-men-s-casual-18.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-brightred-s,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:26",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,red,0,"Full description for ""Barcelona Men's Casual"" coming soon...",S,,,,,,1,4,,,"2015-11-11 21:48:26",barcelona-men-s-casual,barcelona-men-s-casual-19.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-brightred-m,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:26",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,red,0,"Full description for ""Barcelona Men's Casual"" coming soon...",M,,,,,,1,4,,,"2015-11-11 21:48:26",barcelona-men-s-casual,barcelona-men-s-casual-20.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-brightred-l,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:27",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,red,0,"Full description for ""Barcelona Men's Casual"" coming soon...",L,,,,,,1,4,,,"2015-11-11 21:48:27",barcelona-men-s-casual,barcelona-men-s-casual-21.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003-brightred-xl,,Default,simple,Men,"Default Category",base,Gap,,,,"2015-11-11 21:48:27",,,,,"Full description for ""Barcelona Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Casual"" coming soon...","Barcelona Men's Casual","Barcelona Men's Casual",,,,,"Barcelona Men's Casual",,,"Product Info Column",,14.9900,red,0,"Full description for ""Barcelona Men's Casual"" coming soon...",XL,,,,,,1,4,,,"2015-11-11 21:48:27",barcelona-men-s-casual,barcelona-men-s-casual-22.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004-darkcharcoal-m,,Default,simple,Men,"Default Category",base,Uniqlo,,,,"2015-11-11 21:48:27",,,,,"Full description for ""Barcelona Men's Tennis"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Tennis"" coming soon...","Barcelona Men's Tennis","Barcelona Men's Tennis",,,,,"Barcelona Men's Tennis",,,"Product Info Column",,19.9900,black,0,"Full description for ""Barcelona Men's Tennis"" coming soon...",M,,,,,,1,4,,,"2015-11-11 21:48:27",barcelona-men-s-tennis,barcelona-men-s-tennis.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004-darkgrey-m,,Default,simple,Men,"Default Category",base,Uniqlo,,,,"2015-11-11 21:48:27",,,,,"Full description for ""Barcelona Men's Tennis"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Tennis"" coming soon...","Barcelona Men's Tennis","Barcelona Men's Tennis",,,,,"Barcelona Men's Tennis",,,"Product Info Column",,19.9900,grey,0,"Full description for ""Barcelona Men's Tennis"" coming soon...",M,,,,,,1,4,,,"2015-11-11 21:48:27",barcelona-men-s-tennis,barcelona-men-s-tennis-24.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004-maroon-m,,Default,simple,Men,"Default Category",base,Uniqlo,,,,"2015-11-11 21:48:27",,,,,"Full description for ""Barcelona Men's Tennis"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Tennis"" coming soon...","Barcelona Men's Tennis","Barcelona Men's Tennis",,,,,"Barcelona Men's Tennis",,,"Product Info Column",,19.9900,red,0,"Full description for ""Barcelona Men's Tennis"" coming soon...",M,,,,,,1,4,,,"2015-11-11 21:48:27",barcelona-men-s-tennis,barcelona-men-s-tennis-25.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004-turquoise-m,,Default,simple,Men,"Default Category",base,Uniqlo,,,,"2015-11-11 21:48:27",,,,,"Full description for ""Barcelona Men's Tennis"" coming soon...",,,,0,,,,,"Full description for ""Barcelona Men's Tennis"" coming soon...","Barcelona Men's Tennis","Barcelona Men's Tennis",,,,,"Barcelona Men's Tennis",,,"Product Info Column",,19.9900,green,0,"Full description for ""Barcelona Men's Tennis"" coming soon...",M,,,,,,1,4,,,"2015-11-11 21:48:27",barcelona-men-s-tennis,barcelona-men-s-tennis-26.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005-lightgrey-s,,Default,simple,Men,"Default Category",base,Independent,,,,"2015-11-11 21:48:28",,,,,"Full description for ""Ajax Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Ajax Men's Casual"" coming soon...","Ajax Men's Casual","Ajax Men's Casual",,,,,"Ajax Men's Casual",,,"Product Info Column",,4.9900,grey,0,"Full description for ""Ajax Men's Casual"" coming soon...",S,,,,,,1,4,,,"2015-11-11 21:48:28",ajax-men-s-casual,ajax-men-s-casual.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005-lightgrey-m,,Default,simple,Men,"Default Category",base,Independent,,,,"2015-11-11 21:48:28",,,,,"Full description for ""Ajax Men's Casual"" coming soon...",,,,0,,,,,"Full description for ""Ajax Men's Casual"" coming soon...","Ajax Men's Casual","Ajax Men's Casual",,,,,"Ajax Men's Casual",,,"Product Info Column",,4.9900,grey,0,"Full description for ""Ajax Men's Casual"" coming soon...",M,,,,,,1,4,,,"2015-11-11 21:48:28",ajax-men-s-casual,ajax-men-s-casual-28.html,4,4.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Men/Sport,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
